Reported_Date,Confirmed_Negative-Cumulative,Confirmed_Positive-Daily
3/2/2020,975,15
3/3/2020,1061,17
3/4/2020,1216,17
3/5/2020,1466,18
3/6/2020,1665,22
3/7/2020,1918,24
3/8/2020,2094,25
3/9/2020,2347,31
3/10/2020,2599,31
3/11/2020,2888,37
3/12/2020,3590,54
3/13/2020,4470,74
3/14/2020,5606,98
3/15/2020,7004,140
3/16/2020,8464,172
3/17/2020,9415,183
3/18/2020,10305,208
3/19/2020,12421,251
3/20/2020,13718,311
3/21/2020,15768,369
3/22/2020,17634,412
3/23/2020,19586,489
3/24/2020,21795,572
3/25/2020,24458,667
3/26/2020,26727,835
3/27/2020,29967,967
3/28/2020,33240,1117
3/29/2020,40630,1324
